Product id,Product name,Quantity,Unit Cost price,Unit Sale price,Stock value,Location,Expiry Date,Vendor id
PROD001,Smartphone Cases,2500,12,25,30000,1234,15-12-2025,VEND001
PROD002,Wireless Headphones,1850,45,89,83250,2143,20-01-2026,VEND002
PROD003,Laptop Chargers,3200,25,52,80000,3412,10-11-2025,VEND003
PROD004,USB Cables,5000,8,18,40000,1324,30-03-2026,VEND001
PROD005,Power Banks,2200,32,68,70400,2431,25-02-2026,VEND002
PROD006,Screen Protectors,4500,5,12,22500,3241,18-04-2026,VEND003
PROD007,Bluetooth Speakers,1500,55,115,82500,4132,12-01-2026,VEND004
PROD008,Camera Lenses,800,120,250,96000,1423,08-05-2026,VEND005
PROD009,Memory Cards,3500,18,38,63000,2314,22-12-2025,VEND001
PROD010,Phone Holders,2800,15,32,42000,3142,16-06-2026,VEND004
PROD011,Tablet Stands,1200,28,58,33600,4231,28-03-2026,VEND006
PROD012,Keyboard Covers,2100,22,45,46200,1342,14-07-2026,VEND002
PROD013,Mouse Pads,3800,9,20,34200,2413,05-08-2026,VEND007
PROD014,Cable Organizers,4200,6,14,25200,3124,19-09-2025,VEND003
PROD015,Portable Drives,1900,65,135,123500,4312,11-10-2025,VEND008
PROD016,Webcams,1100,75,155,82500,1234,03-11-2025,VEND005
PROD017,Gaming Controllers,900,85,175,76500,2143,27-04-2026,VEND009
PROD018,VR Headsets,600,200,420,120000,3412,15-05-2026,VEND010
PROD019,Smart Watches,1300,95,195,123500,1324,09-12-2025,VEND006
PROD020,Fitness Trackers,1700,40,82,68000,2431,21-01-2026,VEND007
PROD021,Audio Interfaces,500,150,310,75000,3241,13-02-2026,VEND008
PROD022,Microphones,750,80,165,60000,4132,07-06-2026,VEND009
PROD023,LED Strips,2900,12,26,34800,1423,24-03-2026,VEND001
PROD024,Cooling Fans,1600,35,72,56000,2314,18-08-2025,VEND010
PROD025,Graphics Cards,400,350,725,140000,3142,02-07-2026,VEND005
