Product id,Product name,Sale quantity,Unit Cost price,Unit Sale price,Final sale price,Sale value,Net profit,Sale Date,Sale id,Customer id
PROD001,Smartphone Cases,150,12,25,25,3750,1950,15-07-2025,S001001150720250101,CUST001
PROD002,Wireless Headphones,50,45,89,89,4450,2200,20-07-2025,S002001160720250201,CUST002
PROD003,Laptop Chargers,220,25,52,52,11440,5940,18-07-2025,S003001180720250301,CUST003
PROD004,USB Cables,280,8,18,18,5040,2800,19-07-2025,S004001190720250401,CUST004
PROD005,Power Banks,250,32,68,68,17000,9000,22-07-2025,S005001220720250501,CUST005
PROD006,Screen Protectors,320,5,12,12,3840,2240,12-07-2025,S006001120720250601,CUST006
PROD007,Bluetooth Speakers,180,55,115,115,20700,10800,14-07-2025,S007001140720250701,CUST007
PROD008,Camera Lenses,80,120,250,250,20000,10400,17-07-2025,S008001170720250801,CUST008
PROD009,Memory Cards,320,18,38,38,12160,6400,13-07-2025,S009001130720250901,CUST009
PROD010,Phone Holders,160,15,32,32,5120,2720,21-07-2025,S010001210720250101,CUST010
PROD011,Tablet Stands,120,28,58,58,6960,3600,23-07-2025,S002002210720250202,CUST002
PROD012,Keyboard Covers,150,22,45,45,6750,3450,24-07-2025,S003002230720250302,CUST003
PROD013,Mouse Pads,220,9,20,20,4400,2420,25-07-2025,S004002240720250402,CUST004
PROD014,Cable Organizers,280,6,14,14,3920,2240,26-07-2025,S006002260720250602,CUST006
PROD015,Portable Drives,120,65,135,135,16200,8400,27-07-2025,S005002270720250502,CUST005
PROD016,Webcams,120,75,155,155,18600,9600,28-07-2025,S009002280720250902,CUST009
PROD017,Gaming Controllers,80,85,175,175,14000,7200,29-07-2025,S007002290720250702,CUST007
PROD018,VR Headsets,50,200,420,420,21000,11000,31-07-2025,S008002310720250802,CUST008
PROD019,Smart Watches,50,95,195,195,9750,5000,02-08-2025,S010002010820251002,CUST010
PROD020,Fitness Trackers,180,40,82,82,14760,7560,03-08-2025,S002003030820250203,CUST002
PROD021,Audio Interfaces,50,150,310,310,15500,8000,04-08-2025,S003003040820250304,CUST003
PROD022,Microphones,70,80,165,165,11550,5950,05-08-2025,S006003050820250603,CUST006
PROD023,LED Strips,180,12,26,26,4680,2520,06-08-2025,S004003060820250403,CUST004
PROD024,Cooling Fans,120,35,72,72,8640,4440,07-08-2025,S005003070820250504,CUST005
PROD025,Graphics Cards,40,350,725,725,29000,15000,08-08-2025,S007003080820250703,CUST007
PROD001,Smartphone Cases,200,12,25,25,5000,2600,09-08-2025,S008003090820250803,CUST008
PROD003,Laptop Chargers,120,25,52,52,6240,3240,10-08-2025,S001002200720250102,CUST001
PROD006,Screen Protectors,200,5,12,12,2400,1400,11-08-2025,S009003080820250903,CUST009
PROD009,Memory Cards,250,18,38,38,9500,5000,12-08-2025,S002004080820250204,CUST002
PROD012,Keyboard Covers,200,22,45,45,9000,4600,13-08-2025,S004004110820250404,CUST004
PROD015,Portable Drives,150,65,135,135,20250,10500,14-08-2025,S003005090820250305,CUST003
PROD018,VR Headsets,30,200,420,420,12600,6600,15-08-2025,S005005130820250505,CUST005
PROD002,Wireless Headphones,200,45,89,89,17800,8800,16-08-2025,S006005150820250604,CUST006
PROD005,Power Banks,100,32,68,68,6800,3600,17-08-2025,S004005160820250405,CUST004
PROD007,Bluetooth Speakers,150,55,115,115,17250,9000,18-08-2025,S006006180820250506,CUST006
PROD010,Phone Holders,180,15,32,32,5760,3060,19-08-2025,S007005190820250705,CUST007
PROD013,Mouse Pads,320,9,20,20,6400,3520,20-08-2025,S004006200820250704,CUST004
PROD016,Webcams,100,75,155,155,15500,8000,21-08-2025,S005006210820250506,CUST005
PROD019,Smart Watches,200,95,195,195,39000,20000,22-08-2025,S006006210820250606,CUST006
PROD022,Microphones,150,80,165,165,24750,12750,23-08-2025,S007006230820250707,CUST007
PROD001,Smartphone Cases,100,12,25,25,2500,1300,24-08-2025,S008006240820250808,CUST008
PROD004,USB Cables,350,8,18,18,6300,3500,25-08-2025,S001003250720250103,CUST001
PROD008,Camera Lenses,60,120,250,250,15000,7800,26-08-2025,S005007250820250507,CUST005
PROD011,Tablet Stands,80,28,58,58,4640,2400,27-08-2025,S006007260820250607,CUST006
PROD014,Cable Organizers,200,6,14,14,2800,1600,28-08-2025,S003006140820250306,CUST003
PROD017,Gaming Controllers,70,85,175,175,12250,6300,29-08-2025,S007007270820250708,CUST007
PROD020,Fitness Trackers,120,40,82,82,9840,5040,30-08-2025,S008008300820250808,CUST008
PROD023,LED Strips,200,12,26,26,5200,2800,31-08-2025,S004007310820250408,CUST004
PROD002,Wireless Headphones,150,45,89,89,13350,6600,01-09-2025,S005008010920250509,CUST005
PROD006,Screen Protectors,180,5,12,12,2160,1260,02-09-2025,S002009020920250209,CUST002
PROD009,Memory Cards,200,18,38,38,7600,4000,03-09-2025,S006008030920250608,CUST006
PROD012,Keyboard Covers,120,22,45,45,5400,2760,04-09-2025,S003009040920250310,CUST003
PROD015,Portable Drives,80,65,135,135,10800,5600,05-09-2025,S001004010820250104,CUST001
PROD018,VR Headsets,20,200,420,420,8400,4400,06-09-2025,S004009060920250409,CUST004
PROD021,Audio Interfaces,40,150,310,310,12400,6400,07-09-2025,S002010070920250210,CUST002
PROD024,Cooling Fans,100,35,72,72,7200,3700,08-09-2025,S005010080920250510,CUST005
PROD025,Graphics Cards,30,350,725,725,21750,11250,09-09-2025,S003011090920250311,CUST003
PROD001,Smartphone Cases,80,12,25,25,2000,1040,10-09-2025,S001005050820250105,CUST001
PROD007,Bluetooth Speakers,100,55,115,115,11500,6000,11-09-2025,S005011110920250511,CUST005
PROD010,Phone Holders,120,15,32,32,3840,2040,10-09-2025,S001006100820250106,CUST001
